fishName,rarity,stamina,region,description
火焰龙鱼,2,150,Hot,"浑身赤红如熔岩流动，尾鳍形似龙须"
热泉盲鳗,1,120,Hot,"适应极端高温环境的盲眼鳗鱼"
火斑章鱼,1,110,Hot,"生活在火山口附近的聪明生物"
岩浆虾虎鱼,1,95,Hot,"在岩浆旁跳跃的小型鱼类"
熔岩刺尾鱼,1,105,Hot,"尾巴像刀锋一样锐利"
火山灯笼鱼,1,115,Hot,"夜间发光吸引猎物"
赤潮水母鱼,1,100,Hot,"随着洋流漂浮，具有美丽的荧光"
红纹小丑鱼,0,80,Hot,"常见的热带珊瑚礁鱼类"
火斑神仙鱼,0,75,Hot,"色彩斑斓的观赏鱼"
炽热马鲛鱼,0,65,Hot,"速度极快的中型掠食者"
热浪沙丁鱼,0,50,Hot,"群体行动的小型鱼类"
熔岩比目鱼,0,60,Hot,"善于伪装的海底居民"
赤焰鳗鲡,0,55,Hot,"能在极端温度下生存的鳗类"
火山鲑鱼,0,70,Hot,"逆流而上繁殖的勇士"
炎帝鲀,0,45,Hot,"膨胀时能吓退捕食者的有趣物种"
热浪鳐鱼,0,85,Hot,"优雅滑行于深海的神秘生物"
赤道刺尾鱼,0,75,Hot,"喜欢温暖水域的活泼小鱼"
火纹鳞鲀,0,65,Hot,"身披坚硬鳞片的小战士"
炽热鳕鱼,0,60,Hot,"冷水中的耐寒者"
火焰蝴蝶鱼,0,55,Hot,"色彩艳丽的热带鱼"

冰晶凤凰鱼,2,160,Cold,"全身透明，游动时散发蓝光"
极地雪鲆,1,130,Cold,"寒冷水域中的隐秘猎手"
冰川盲鲉,1,120,Cold,"视力退化的古老物种"
北极磷虾鱼,1,110,Cold,"以磷虾为食的小型鱼类"
白令鳕鱼,1,105,Cold,"高蛋白的食物来源"
冰原大马哈鱼,1,115,Cold,"长途迁徙的传奇鱼类"
南极冰eel,1,100,Cold,"在冰层下游动的神秘生物"
北极鳕鱼,0,90,Cold,"极地常见冷水鱼"
冰海沙丁鱼,0,75,Cold,"成群结队的小型鱼类"
极地比目鱼,0,80,Cold,"善于隐藏的海底居民"
寒带鲑鱼,0,70,Cold,"冷水中的美味佳肴"
冰川 trout,0,65,Cold,"清澈溪流中的敏捷游泳者"
北极鲈鱼,0,75,Cold,"深受钓鱼爱好者喜爱"
极地鳁鱼,0,60,Cold,"小型但营养丰富的鱼类"
冰海鲪鱼,0,55,Cold,"生活在深海的神秘物种"
极寒银鱼,0,50,Cold,"反射月光的美丽生物"
冰川鲨幼体,0,85,Cold,"未来海洋的霸主"
极地鳐鱼,0,70,Cold,"优雅滑行于冰冷海域"
冰海鳗鲡,0,65,Cold,"冷水中坚韧的生命"

海神三色鲤,2,140,Normal,"优雅的三色鲤鱼"
珍珠贝鲤,1,120,Normal,"闪耀着珍珠光泽的珍贵鱼类"
彩虹石斑鱼,1,110,Normal,"拥有七彩鳞片的美丽生物"
宝蓝金枪鱼,1,105,Normal,"快速游动的大型掠食者"
翡翠神仙鱼,1,115,Normal,"热带水域中的宝石"
琥珀鲷鱼,1,100,Normal,"温顺且易于饲养"
玛瑙鲀鱼,1,95,Normal,"小巧玲珑的可爱生物"
普通鲤鱼,0,70,Normal,"淡水常见鱼种"
淡水鲫鱼,0,65,Normal,"适合家庭养殖的鱼类"
蓝鳃太阳鱼,0,60,Normal,"阳光下的活跃泳者"
条纹 bass,0,55,Normal,"湖泊中的常客"
小口黑鲈,0,50,Normal,"体型较小的肉食性鱼类"
大口黑鲈,0,65,Normal,"极具攻击性的掠食者"
北方狗鱼,0,70,Normal,"冷水中的凶猛猎手"
平民金鱼,0,45,Normal,"最受欢迎的观赏鱼"
欧洲鳗鲡,0,60,Normal,"横跨大西洋的旅行家"
普通鳟鱼,0,55,Normal,"山间溪流中的精灵"
河鲈鱼,0,50,Normal,"河流生态系统的重要组成部分"
普通鲶鱼,0,65,Normal,"夜间的安静猎手"
银色鲨鱼,0,70,Normal,"温和的大海探索者"

辐射凤凰鱼,2,180,Dead,"核变异后的神秘生物"
变异鳗鲡,1,140,Dead,"生命力顽强的变异物种"
放射性鳉鱼,1,130,Dead,"能在污染水域生存的小型鱼类"
辐射章鱼,1,120,Dead,"智慧超群的八爪生物"
废料蟹虎鱼,1,110,Dead,"居住在废弃工业区附近"
核斑比目鱼,1,105,Dead,"擅长伪装的海底居民"
辐射水母鱼,1,100,Dead,"散发着危险光芒的漂浮者"
变异沙丁鱼,0,80,Dead,"数量众多的微小生命"
辐射鳕鱼,0,75,Dead,"冷水中的幸存者"
废料鲱鱼,0,70,Dead,"成群结队的小型鱼类"
放射性银鱼,0,65,Dead,"闪闪发光的不祥之兆"
核染 trout,0,60,Dead,"受到污染影响的变种"
辐射鲯鱼,0,55,Dead,"快速游动的中型鱼类"
废料鳀鱼,0,50,Dead,"食物链底层的小生物"
变异鲻鱼,0,65,Dead,"顽强适应恶劣环境的鱼类"
放射性鳙鱼,0,70,Dead,"头部巨大的特殊物种"
废料鲨幼体,0,75,Dead,"未来未知的命运"
核染鲹鱼,0,65,Dead,"灵活穿梭于污染水域"
辐射鳗鲡,0,60,Dead,"黑暗水域中的隐秘生物"
变异鲬鱼,0,55,Dead,"适应能力极强的小型鱼类"